RMS.FP,爱马仕HERMES,Others,FR0000052292,RMS FP,RMS,,HRMS.PA,HRMS.PA,beadc816-d481-11d5-8f83-f03a82eb7e91,EURONEXT,98
TTE.FP,TOTALENERGIES SE,Others,FR0000120271,TTE FP,TTE,,TTEF.PA,TTEF.PA,,EURONEXT,
OR.FP,欧莱雅L'OREAL,Others,FR0000120321,OR FP,OR,,OREP.PA,OREP.PA,,EURONEXT,
SAN.FP,SANOFI,Others,FR0000120578,SAN FP,SAN,,SANY.PA,SANY.PA,,EURONEXT,
CS.FP,安盛AXA,Others,FR0000120628,CS FP,CS,,AXAF.PA,AXAF.PA,,EURONEXT,
MC.FP,LVMH路易威登,Others,FR0000121014,MC FP,MC,,LVMH.PA,LVMH.PA,c9fd87e2-d481-11d5-8f83-f03a82eb7e91,EURONEXT,186
AIR.FP,空中客车AIRBUS,Others,NL0000235190,AIR FP,AIR,,AIRF.PA,AIRF.PA,,EURONEXT,199
RACE.IM,法拉利FERRARI,Others,NL0011585146,RACE IM,RACE,,RACE.N,RACE.N,,EURONEXT,
INGA.NA,ING荷兰国际集团,Others,NL0011821202,INGA NA,INGA,,INGA.AS,INGA.AS,,EURONEXT,112
BNP.FP,巴黎银行集团,Others,,BNP FP,BNP,,BNPP.PA,BNPP.PA,,EURONEXT,157
3690.HK,美团,Hong Kong,KYG596691041,3690 HK,3690,MPNGF,3690.HK,3690.HK,,HKSE,21
1024.HK,快手,Hong Kong,KYG532631028,1024 HK,1024,KUASF,1024.HK,1024.HK,,HKSE,26
0700.HK,腾讯控股,Hong Kong,KYG875721634,700 HK,0700,TCEHY,0700.HK,0700.HK,,HKSE,14
1211.HK,比亚迪,Hong Kong,0,1211 HK,1211,BYDDF,1211.HK,1211.HK,,HKSE,30
0631.HK,三一国际,Hong Kong,KYG781631059,631 HK,0631,SNYYF,0631.HK,0631.HK,,HKSE,
2318.HK,中国平安,Hong Kong,CNE1000003X6,2318 HK,2318,PNGAY,2318.HK,2318.HK,,HKSE,51
1299.HK,友邦保险,Hong Kong,HK0000069689,1299 HK,1299,AAGIY,1299.HK,1299.HK,,HKSE,25
0388.HK,香港交易所,Hong Kong,HK0388045442,388 HK,0388,HKXCF,0388.HK,0388.HK,,HKSE,35
0005.HK,汇丰控股,Hong Kong,ARDEUT112257,5 HK,0005,HSBC,0005.HK,0005.HK,,HKSE,10
3968.HK,招商银行,Hong Kong,CNE1000002M1,3968 HK,3968,CIHKY,3968.HK,3968.HK,,HKSE,69
1810.HK,小米集团,Hong Kong,0,1810 HK,1810,XIACF,1810.HK,1810.HK,,HKSE,40
1458.HK,周黑鸭,Hong Kong,KYG989761062,1458 HK,1458,,1458.HK,1458.HK,,HKSE,
2020.HK,安踏体育,Hong Kong,KYG040111059,2020 HK,2020,ANPDY,2020.HK,2020.HK,,HKSE,156
2331.HK,李宁,Hong Kong,KYG5496K1242,2331 HK,2331,LNNGF,2331.HK,2331.HK,,HKSE,88
0883.HK,中国海洋石油,Hong Kong,HK0883013259,883 HK,0883,CEOHF,0883.HK,0883.HK,,HKSE,71
0857.HK,中国石油股份,Hong Kong,CNE1000003W8,857 HK,0857,PCCYF,0857.HK,0857.HK,,HKSE,
0386.HK,中石化,Hong Kong,CNE1000002Q2,386 HK,0386,SNPMF,0386.HK,0386.HK,,HKSE,
0981.HK,中芯国际,Hong Kong,KYG8020E1199,981 HK,0981,SIUIF,0981.HK,0981.HK,,HKSE,118
2899.HK,紫金矿业,Hong Kong,CNE100000502,2899 HK,2899,ZIJMF,2899.HK,2899.HK,,HKSE,
1378.HK,中国宏桥,Hong Kong,KYG211501005,1378 HK,1378,CHHQF,1378.HK,1378.HK,,HKSE,120
0941.HK,中国移动,Hong Kong,HK0941009539,941 HK,0941,CHL,0941.HK,0941.HK,,HKSE,114
0823.HK,领展房产基金,Hong Kong,HK0823032773,823 HK,0823,LKREF,0823.HK,0823.HK,,HKSE,
1368.HK,特步,Hong Kong,KYG982771092,1368 HK,1368,XTEPY,1368.HK,1368.HK,,HKSE,
2171.HK,科济药业,Hong Kong,KYG1996C1006,2171 HK,2171,CRTHF,2171.HK,2171.HK,,HKSE,
2359.HK,药明康德,Hong Kong,CNE100003F19,2359 HK,2359,WUXIF,2359.HK,2359.HK,,HKSE,
2333.HK,长城汽车,Hong Kong,CNE100000338,2333 HK,2333,GWLLF,2333.HK,2333.HK,,HKSE,
2269.HK,药明生物,Hong Kong,KYG970081090,2269 HK,2269,WXXWY,2269.HK,2269.HK,,HKSE,74
0017.HK,新世界发展,Hong Kong,,17 HK,0017,,0017.HK,0017.HK,,HKSE,
0016.HK,新鸿基地产,Hong Kong,,16 HK,0016,,0016.HK,0016.HK,,HKSE,
0175.HK,吉利汽车,Hong Kong,,175 HK,0175,,0175.HK,0175.HK,,HKSE,93
0384.HK,CHINA GAS HOLDINGS LTD,Hong Kong,BMG2109G1033,384 HK,0384,,0384.HK,0384.HK,,HKSE,
1193.HK,CHINA RESOURCES GAS GROUP LT,Hong Kong,BMG2113B1081,1193 HK,1193,,1193.HK,1193.HK,,HKSE,
8083.HK,CHINA YOUZAN LTD,Hong Kong,BMG2164J1099,8083 HK,8083,,8083.HK,8083.HK,,HKSE,
