RMS.FP,cef12f5c-e4f2-11ee-b30e-3774e444eabf,HERMES
TTE.FP,ff1f416e-e4f2-11ee-b30e-3774e444eabf,TOTALENERGIES SE
OR.FP,ff1f416f-e4f2-11ee-b30e-3774e444eabf,OREAL
SAN.FP,ff1f4170-e4f2-11ee-b30e-3774e444eabf,SANOFI
CS.FP,ff1f4171-e4f2-11ee-b30e-3774e444eabf,AXA
MC.FP,ff1f4172-e4f2-11ee-b30e-3774e444eabf,LVMH
AIR.FP,ff1f4173-e4f2-11ee-b30e-3774e444eabf,AIRBUS
RACE.IM,ff1f4174-e4f2-11ee-b30e-3774e444eabf,FERRARI
INGA.NA,ff1f4175-e4f2-11ee-b30e-3774e444eabf,ING
BNP.FP,ff1f4176-e4f2-11ee-b30e-3774e444eabf,BNP Paribas Group
3690.HK,cddf2308-9d83-11ee-8ba2-c75ffde41a09,Meituan
1024.HK,cddf22db-9d83-11ee-8ba2-c75ffde41a09,Kuaishou Technology
0700.HK,cddf22e8-9d83-11ee-8ba2-c75ffde41a09,Tencent Holdings
1211.HK,cddf22eb-9d83-11ee-8ba2-c75ffde41a09,BYD Co.
0631.HK,
2318.HK,cddf22e2-9d83-11ee-8ba2-c75ffde41a09,Ping An Insurance Group
1299.HK,cddf22e6-9d83-11ee-8ba2-c75ffde41a09,AIA Group
0388.HK,cddf22ce-9d83-11ee-8ba2-c75ffde41a09,Hong Kong Exchanges
0005.HK,cddf22d0-9d83-11ee-8ba2-c75ffde41a09,HSBC
3968.HK,cddf22c5-9d83-11ee-8ba2-c75ffde41a09,China Merchants Bank
1810.HK,cddf22d9-9d83-11ee-8ba2-c75ffde41a09,Xiaomi Corp.
1458.HK,cddf22d1-9d83-11ee-8ba2-c75ffde41a09,Zhou Hei Ya Intl
2020.HK,cddf22f5-9d83-11ee-8ba2-c75ffde41a09,Anta Sports Products
2331.HK,cddf22f9-9d83-11ee-8ba2-c75ffde41a09,Li Ning Co.
0883.HK,cddf22f2-9d83-11ee-8ba2-c75ffde41a09,CNOOC
0857.HK,cddf2302-9d83-11ee-8ba2-c75ffde41a09,PetroChina
0386.HK,cddf22cb-9d83-11ee-8ba2-c75ffde41a09,China Petroleum & Chemical
0981.HK,cddf22cd-9d83-11ee-8ba2-c75ffde41a09,SMIC
2899.HK,cddf22fd-9d83-11ee-8ba2-c75ffde41a09,Zijin Mining
1378.HK,cddf2304-9d83-11ee-8ba2-c75ffde41a09,China Hongqiao Group
0941.HK,cddf22ca-9d83-11ee-8ba2-c75ffde41a09,China Mobile (HK)
0823.HK,cddf22de-9d83-11ee-8ba2-c75ffde41a09,Link REIT
1368.HK,ff1f4177-e4f2-11ee-b30e-3774e444eabf,Xtep
2171.HK,ff1f4178-e4f2-11ee-b30e-3774e444eabf,Keji Pharmaceutical
2359.HK,ff1f4179-e4f2-11ee-b30e-3774e444eabf,WuXi AppTec
2333.HK,ff1f417a-e4f2-11ee-b30e-3774e444eabf,Great Wall Motors
2269.HK,ff1f417b-e4f2-11ee-b30e-3774e444eabf,WuXi Biologics
0017.HK,ff1f417c-e4f2-11ee-b30e-3774e444eabf,New World Development
0016.HK,ff1f417d-e4f2-11ee-b30e-3774e444eabf,Sun Hung Kai Properties
0175.HK,ff1f417e-e4f2-11ee-b30e-3774e444eabf,Geely Automobile
0384.HK,ff1f417f-e4f2-11ee-b30e-3774e444eabf,CHINA GAS HOLDINGS LTD
1193.HK,ff1f4180-e4f2-11ee-b30e-3774e444eabf,CHINA RESOURCES GAS GROUP LT
8083.HK,ff1f4181-e4f2-11ee-b30e-3774e444eabf,CHINA YOUZAN LTD
0636.HK,ff1f4182-e4f2-11ee-b30e-3774e444eabf,KERRY LOGISTICS
2689.HK,ff1f4183-e4f2-11ee-b30e-3774e444eabf,NINE DRAGONS PAPER HOLDINGS
3988.HK,ff1f4184-e4f2-11ee-b30e-3774e444eabf,Bank of China
0694.HK,ff1f4185-e4f2-11ee-b30e-3774e444eabf,BEIJING CAPITAL INTL AIRPO H
1919.HK,ff1f4186-e4f2-11ee-b30e-3774e444eabf,COSCO Shipping
2628.HK,ff1f4187-e4f2-11ee-b30e-3774e444eabf,China Life
0728.HK,ff1f4188-e4f2-11ee-b30e-3774e444eabf,China Telecom
1398.HK,ff1f4189-e4f2-11ee-b30e-3774e444eabf,ICBC
0763.HK,ff1f418a-e4f2-11ee-b30e-3774e444eabf,ZTE CORP-H
2328.HK,ff1f418b-e4f2-11ee-b30e-3774e444eabf,PICC PROPERTY CASUALTY H
0916.HK,ff1f418c-e4f2-11ee-b30e-3774e444eabf,CHINA LONGYUAN POWER GROUP H
2238.HK,ff1f418d-e4f2-11ee-b30e-3774e444eabf,GAC Group
1288.HK,ff1f418e-e4f2-11ee-b30e-3774e444eabf,AGRICULTURAL BANK OF CHINA H
6030.HK,ff1f418f-e4f2-11ee-b30e-3774e444eabf,CITIC
2202.HK,ff1f4190-e4f2-11ee-b30e-3774e444eabf,CHINA VANKE CO LTD-H
6865.HK,ff1f4191-e4f2-11ee-b30e-3774e444eabf,FLAT GLASS GROUP CO LTD H
6060.HK,ff1f4192-e4f2-11ee-b30e-3774e444eabf,ZHONGAN ONLINE PC INSURAN H
6185.HK,ff1f4193-e4f2-11ee-b30e-3774e444eabf,CANSINO BIOLOGICS INC H
0762.HK,ff1f4194-e4f2-11ee-b30e-3774e444eabf,China Unicom
0002.HK,ff1f4195-e4f2-11ee-b30e-3774e444eabf,CLP China Electronics Holdings
0003.HK,ff1f4196-e4f2-11ee-b30e-3774e444eabf,HONG KONG CHINA GAS
0006.HK,ff1f4197-e4f2-11ee-b30e-3774e444eabf,Electric Energy Industry
0011.HK,ff1f4198-e4f2-11ee-b30e-3774e444eabf,HANG SENG
0027.HK,ff1f4199-e4f2-11ee-b30e-3774e444eabf,Galaxy Entertainment
0066.HK,ff1f419a-e4f2-11ee-b30e-3774e444eabf,MTR CORP
0293.HK,ff1f419b-e4f2-11ee-b30e-3774e444eabf,CATHAY PACIFIC
0688.HK,ff1f419c-e4f2-11ee-b30e-3774e444eabf,China Overseas Investment
0836.HK,ff1f419d-e4f2-11ee-b30e-3774e444eabf,CHINA RESOURCES POWER HOLDIN
2388.HK,ff1f4184-e4f2-11ee-b30e-3774e444eabf,Bank of China
6993.HK,ff1f419e-e4f2-11ee-b30e-3774e444eabf,BLUE MOON GROUP HOLDINGS LTD
1109.HK,ff1f419f-e4f2-11ee-b30e-3774e444eabf,CHINA RESOURCES LAND LTD
3333.HK,ff1f41a0-e4f2-11ee-b30e-3774e444eabf,CHINA EVERGRANDE GROUP
0001.HK,ff1f41a1-e4f2-11ee-b30e-3774e444eabf,CK Hutchison Industrial
1113.HK,ff1f41a2-e4f2-11ee-b30e-3774e444eabf,CK Hutchison Real Estate
6098.HK,ff1f41a3-e4f2-11ee-b30e-3774e444eabf,COUNTRY GARDEN SERVICES HOLD
2018.HK,ff1f41a4-e4f2-11ee-b30e-3774e444eabf,AAC TECHNOLOGIES HOLDINGS IN
9698.HK,ff1f41a5-e4f2-11ee-b30e-3774e444eabf,GDS HOLDINGS LTD-CL A
6862.HK,ff1f41a6-e4f2-11ee-b30e-3774e444eabf,Haidilao
6618.HK,ff1f41a7-e4f2-11ee-b30e-3774e444eabf,JD Health
2618.HK,ff1f41a8-e4f2-11ee-b30e-3774e444eabf,JD LOGISTICS INC
9922.HK,ff1f41a9-e4f2-11ee-b30e-3774e444eabf,JIUMAOJIU INTERNATIONAL HOLD
0960.HK,ff1f41aa-e4f2-11ee-b30e-3774e444eabf,LONGFOR GROUP HOLDINGS LTD
0853.HK,ff1f41ab-e4f2-11ee-b30e-3774e444eabf,MICROPORT SCIENTIFIC CORP
0909.HK,ff1f41ac-e4f2-11ee-b30e-3774e444eabf,MING YUAN CLOUD GROUP HOLDIN
9992.HK,ff1f41ad-e4f2-11ee-b30e-3774e444eabf,POP MART INTERNATIONAL GROUP
1928.HK,ff1f41ae-e4f2-11ee-b30e-3774e444eabf,SANDS CHINA LTD
6969.HK,ff1f41af-e4f2-11ee-b30e-3774e444eabf,SMOORE INTERNATIONAL HOLDING
2382.HK,ff1f41b0-e4f2-11ee-b30e-3774e444eabf,SUNNY OPTICAL TECH
9868.HK,ff1f41b1-e4f2-11ee-b30e-3774e444eabf,XPENG INC  CLASS A SHARES
2013.HK,ff1f41b2-e4f2-11ee-b30e-3774e444eabf,WEIMOB INC
1519.HK,ff1f41b3-e4f2-11ee-b30e-3774e444eabf,Jitu Express
2822.HK,ff1f41b4-e4f2-11ee-b30e-3774e444eabf,First Pacific Limited
3033.HK,ff1f41b5-e4f2-11ee-b30e-3774e444eabf,Evergrande Group
9626.HK,ff1f4187-e4f2-11ee-b30e-3774e444eabf,China Life
1801.HK,ff1f41b6-e4f2-11ee-b30e-3774e444eabf,China Communications Services
6066.HK,ff1f41b7-e4f2-11ee-b30e-3774e444eabf,CSC Financial
9633.HK,ff1f41b8-e4f2-11ee-b30e-3774e444eabf,Nongfu Spring
1772.HK,ff1f41b9-e4f2-11ee-b30e-3774e444eabf,Ganfeng Lithium Industry
2601.HK,ff1f41ba-e4f2-11ee-b30e-3774e444eabf,China Pacific Insurance
1336.HK,ff1f41bb-e4f2-11ee-b30e-3774e444eabf,New China Life
6886.HK,ff1f41bc-e4f2-11ee-b30e-3774e444eabf,Huatai Securities
1988.HK,ff1f41bd-e4f2-11ee-b30e-3774e444eabf,Minsheng Bank
0939.HK,ff1f41be-e4f2-11ee-b30e-3774e444eabf,CCB
2313.HK,ff1f41bf-e4f2-11ee-b30e-3774e444eabf,China Group
1658.HK,ff1f41c0-e4f2-11ee-b30e-3774e444eabf,Postal Savings Bank
1138.HK,ff1f41c1-e4f2-11ee-b30e-3774e444eabf,COSCO Energy Transport
1339.HK,ff1f41c2-e4f2-11ee-b30e-3774e444eabf,People Insurance Company of China
2502.JT,ff1f41c3-e4f2-11ee-b30e-3774e444eabf,ASAHI GROUP HOLDINGS LTD
9984.JT,ff1f41c4-e4f2-11ee-b30e-3774e444eabf,SOFTBANK
6902.JT,ff1f41c5-e4f2-11ee-b30e-3774e444eabf,DENSO CORP
7203.JP,ff1f41c6-e4f2-11ee-b30e-3774e444eabf,TOYOTA
7201.JP,ff1f41c7-e4f2-11ee-b30e-3774e444eabf,NISSAN
9201.JT,ff1f41c8-e4f2-11ee-b30e-3774e444eabf,JA
8604.JP,ff1f41c9-e4f2-11ee-b30e-3774e444eabf,Nomura
6501.JT,ff1f41ca-e4f2-11ee-b30e-3774e444eabf,HITACHI LTD
6954.JT,ff1f41cb-e4f2-11ee-b30e-3774e444eabf,FANUC CORP
6702.JT,ff1f41cc-e4f2-11ee-b30e-3774e444eabf,FUJITSU LIMITED
7267.JT,ff1f41cd-e4f2-11ee-b30e-3774e444eabf,HONDA MOTOR CO LTD
8316.JT,ffd08b4a-e4f2-11ee-b30e-3774e444eabf,Sumitomo Mitsui
8411.JT,ffd08b4b-e4f2-11ee-b30e-3774e444eabf,Mizuho
8031.JT,ffd08b4c-e4f2-11ee-b30e-3774e444eabf,UFJ
8053.JT,ffd08b4d-e4f2-11ee-b30e-3774e444eabf,NewsBank Corporation
8002.JT,ffd08b4e-e4f2-11ee-b30e-3774e444eabf,Mitsui Fudosan
8697.JT,ffd08b4f-e4f2-11ee-b30e-3774e444eabf,Japan Exchange
8001.JT,ffd08b50-e4f2-11ee-b30e-3774e444eabf,ITOCHU
8410.JT,ffd08b51-e4f2-11ee-b30e-3774e444eabf,Sumitomo Mitsui Trust
9020.JT,ffd08b52-e4f2-11ee-b30e-3774e444eabf,East Japan Railway
005930.KS,ffd08b53-e4f2-11ee-b30e-3774e444eabf,Samsung Electronics
AZN.LN,ffd08b54-e4f2-11ee-b30e-3774e444eabf,ASTRAZENECA PLC
RTN.LN,ffd08b55-e4f2-11ee-b30e-3774e444eabf,RESTAURANT GROUP PLC
GSK.LN,ffd08b56-e4f2-11ee-b30e-3774e444eabf,GSK
BARC.LN,ffd08b57-e4f2-11ee-b30e-3774e444eabf,Barclays
SPT.US,ffd08b58-e4f2-11ee-b30e-3774e444eabf,Sprout
JD.US,cddf22d6-9d83-11ee-8ba2-c75ffde41a09,JD.com Inc.
PDD.US,cddf22fe-9d83-11ee-8ba2-c75ffde41a09,PDD Holdings
NTES.US,cddf22c6-9d83-11ee-8ba2-c75ffde41a09,NetEase Inc.
BILI.US,cddf22fa-9d83-11ee-8ba2-c75ffde41a09,Bilibili Inc.
