RMS.FP,,,,
TTE.FP,ff1f416e-e4f2-11ee-b30e-3774e444eabf,TOTALENERGIES SE,TotalEnergies SE,c143193c-d481-11d5-8f83-f03a82eb7e91
OR.FP,ff1f416f-e4f2-11ee-b30e-3774e444eabf,OREAL,L'Oreal,c08b7444-d481-11d5-8f83-f03a82eb7e91
SAN.FP,ff1f4170-e4f2-11ee-b30e-3774e444eabf,SANOFI,Sanofi,82276900-de00-11d5-9be0-f05e055bbe70
CS.FP,ff1f4171-e4f2-11ee-b30e-3774e444eabf,AXA,AXA,c1edeb78-d481-11d5-8f83-f03a82eb7e91
MC.FP,,,,
AIR.FP,ff1f4173-e4f2-11ee-b30e-3774e444eabf,AIRBUS,Airbus,f801f3ca-6541-11d6-884c-d854783f2dbe
RACE.IM,ff1f4174-e4f2-11ee-b30e-3774e444eabf,FERRARI,Ferrari NV,87aff286-635a-11d6-989f-c1c08f57383f
INGA.NA,ff1f4175-e4f2-11ee-b30e-3774e444eabf,ING,ING Groep NV,ca01064c-d481-11d5-8f83-f03a82eb7e91
BNP.FP,ff1f4176-e4f2-11ee-b30e-3774e444eabf,BNP Paribas Group,,not found
3690.HK,,,,
1024.HK,,,,
0700.HK,,,,
1211.HK,,,,
0631.HK,,,,
2318.HK,,,,
1299.HK,,,,
0388.HK,,,,
0005.HK,,,,
3968.HK,,,,
1810.HK,,,,
1458.HK,,,,
2020.HK,,,,
2331.HK,,,,
0883.HK,,,,
0857.HK,,,,
0386.HK,,,,
0981.HK,,,,
2899.HK,,,,
1378.HK,,,,
0941.HK,,,,
0823.HK,,,,
1368.HK,ff1f4177-e4f2-11ee-b30e-3774e444eabf,Xtep,Xtep International Holdings,b682f98a-641f-11d6-91d0-df41366bbfce
2171.HK,ff1f4178-e4f2-11ee-b30e-3774e444eabf,Keji Pharmaceutical,,not found
2359.HK,ff1f4179-e4f2-11ee-b30e-3774e444eabf,WuXi AppTec,WuXi AppTec Co.,3e00d4b4-62e4-11d6-8ec3-a8855034b603
2333.HK,ff1f417a-e4f2-11ee-b30e-3774e444eabf,Great Wall Motors,,not found
2269.HK,ff1f417b-e4f2-11ee-b30e-3774e444eabf,WuXi Biologics,WuXi Biologics,89e39292-52d9-46fc-8c84-cb7bb3527a07
0017.HK,ff1f417c-e4f2-11ee-b30e-3774e444eabf,New World Development,New World Development,c80c8870-d481-11d5-8f83-f03a82eb7e91
0016.HK,ff1f417d-e4f2-11ee-b30e-3774e444eabf,Sun Hung Kai Properties,Sun Hung Kai Properties,c0945d7a-d481-11d5-8f83-f03a82eb7e91
0175.HK,ff1f417e-e4f2-11ee-b30e-3774e444eabf,Geely Automobile,Geely Auto,8188e5da-6403-11d6-9c03-a67e6364edb4
0384.HK,ff1f417f-e4f2-11ee-b30e-3774e444eabf,CHINA GAS HOLDINGS,China Gas Holdings,98a66b46-d481-11d5-8f83-f03a82eb7e91
1193.HK,ff1f4180-e4f2-11ee-b30e-3774e444eabf,CHINA RESOURCES GAS GROUP,China Resources Gas Group,82714780-c408-11d5-86be-993aaf5c1874
8083.HK,ff1f4181-e4f2-11ee-b30e-3774e444eabf,CHINA YOUZAN LTD,,not found
0636.HK,ff1f4182-e4f2-11ee-b30e-3774e444eabf,KERRY LOGISTICS,Kerry Logistics Network Ltd.,4f9ad936-6389-11d6-9144-eebb7f2c7f7d
2689.HK,ff1f4183-e4f2-11ee-b30e-3774e444eabf,NINE DRAGONS PAPER HOLDINGS,Nine Dragons Paper Holdings,6d297010-647f-11d6-94ec-ad2e7d3b0283
3988.HK,ff1f4184-e4f2-11ee-b30e-3774e444eabf,Bank of China,Postal Savings Bank of China Co.,a0b4a09e-6344-11d6-90c0-bc120ca8583b
0694.HK,ff1f4185-e4f2-11ee-b30e-3774e444eabf,BEIJING CAPITAL INTL AIRPO,,not found
1919.HK,ff1f4186-e4f2-11ee-b30e-3774e444eabf,COSCO Shipping,COSCO Shipping Ports Ltd.,b5f6e446-d481-11d5-8f83-f03a82eb7e91
2628.HK,ff1f4187-e4f2-11ee-b30e-3774e444eabf,China Life,China Life Insurance Co.,7a612e02-63e5-11d6-869b-e297e26dd5a8
0728.HK,ff1f4188-e4f2-11ee-b30e-3774e444eabf,China Telecom,China Telecom,8690731c-6526-11d6-9cc3-869ee3644d74
1398.HK,ff1f4189-e4f2-11ee-b30e-3774e444eabf,ICBC,ICBC,001f5c42-6465-11d6-8f34-83d1f2687bb6
0763.HK,ff1f418a-e4f2-11ee-b30e-3774e444eabf,ZTE CORP,,not found
2328.HK,ff1f418b-e4f2-11ee-b30e-3774e444eabf,PICC PROPERTY CASUALTY,PICC Property and Casualty Co.,704e4112-6510-11d6-9f64-f33152581b16
0916.HK,ff1f418c-e4f2-11ee-b30e-3774e444eabf,CHINA LONGYUAN POWER GROUP,,not found
2238.HK,ff1f418d-e4f2-11ee-b30e-3774e444eabf,GAC Group,,not found
